total-response-time,type,duration-time-hist,response-time-hist,init-cost
3.059,AWS::DynamoDB::Table,3.0599999999999996,3.0599999999999996,0.0
4.462,AWS::DynamoDB::Table,4.461,4.461,0.0
3.714,AWS::DynamoDB::Table,3.715,3.715,0.0
4.633,AWS::DynamoDB::Table,4.554,4.554,0.0
3.203,AWS::DynamoDB::Table,3.2029999999999994,3.2029999999999994,0.0
3.145,AWS::DynamoDB::Table,3.146,3.146,0.0
3.477,AWS::DynamoDB::Table,3.4749999999999996,3.4749999999999996,0.0
3.621,AWS::DynamoDB::Table,3.6209999999999996,3.6209999999999996,0.0
3.743,AWS::DynamoDB::Table,3.7440000000000007,3.7440000000000007,0.0
5.239,AWS::DynamoDB::Table,5.239,5.239,0.0
5.553,AWS::DynamoDB::Table,5.554,5.554,0.0
3.968,AWS::DynamoDB::Table,3.25,3.25,0.0
3.714,AWS::DynamoDB::Table,3.714,3.714,0.0
4.403,AWS::DynamoDB::Table,4.323,4.323,0.0
6.325,AWS::DynamoDB::Table,6.324,6.324,0.0
4.08,AWS::DynamoDB::Table,4.079999999999999,4.079999999999999,0.0
5.137,AWS::DynamoDB::Table,5.137,5.137,0.0
3.898,AWS::DynamoDB::Table,3.8980000000000006,3.8980000000000006,0.0
4.018,AWS::DynamoDB::Table,4.0200000000000005,4.0200000000000005,0.0
6.177,AWS::DynamoDB::Table,6.176999999999999,6.176999999999999,0.0
5.791,AWS::DynamoDB::Table,5.7909999999999995,5.7909999999999995,0.0
5.346,AWS::DynamoDB::Table,5.346,5.346,0.0
5.227,AWS::DynamoDB::Table,5.226999999999999,5.226999999999999,0.0
4.362,AWS::DynamoDB::Table,4.364,4.364,0.0
3.815,AWS::DynamoDB::Table,3.1100000000000003,3.1100000000000003,0.0
4.665,AWS::DynamoDB::Table,4.667,4.667,0.0
7.341,AWS::DynamoDB::Table,7.340999999999999,7.340999999999999,0.0
3.905,AWS::DynamoDB::Table,3.181,3.181,0.0
3.88,AWS::DynamoDB::Table,3.88,3.88,0.0
5.589,AWS::DynamoDB::Table,5.588,5.588,0.0
5.274,AWS::DynamoDB::Table,5.274,5.274,0.0
5.805,AWS::DynamoDB::Table,5.805000000000001,5.805000000000001,0.0
6.457,AWS::DynamoDB::Table,6.457000000000001,6.457000000000001,0.0
3.88,AWS::DynamoDB::Table,3.8810000000000002,3.8810000000000002,0.0
4.435,AWS::DynamoDB::Table,4.435,4.435,0.0
3.844,AWS::DynamoDB::Table,3.123,3.123,0.0
5.962,AWS::DynamoDB::Table,5.963,5.963,0.0
6.241,AWS::DynamoDB::Table,6.242,6.242,0.0
5.07,AWS::DynamoDB::Table,5.07,5.07,0.0
6.026,AWS::DynamoDB::Table,6.026,6.026,0.0
6.245,AWS::DynamoDB::Table,6.244,6.244,0.0
3.721,AWS::DynamoDB::Table,3.7210000000000005,3.7210000000000005,0.0
4.001,AWS::DynamoDB::Table,4.0009999999999994,4.0009999999999994,0.0
3.8,AWS::DynamoDB::Table,3.74,3.74,0.0
3.846,AWS::DynamoDB::Table,3.746,3.746,0.0
3.511,AWS::DynamoDB::Table,3.5109999999999997,3.5109999999999997,0.0
5.583,AWS::DynamoDB::Table,5.583,5.583,0.0
3.701,AWS::DynamoDB::Table,3.6999999999999997,3.6999999999999997,0.0
5.04,AWS::DynamoDB::Table,5.039000000000001,5.039000000000001,0.0
4.963,AWS::DynamoDB::Table,4.9639999999999995,4.9639999999999995,0.0
4.715,AWS::DynamoDB::Table,4.434,4.434,0.0
3.904,AWS::DynamoDB::Table,3.205,3.205,0.0
3.376,AWS::DynamoDB::Table,3.3759999999999994,3.3759999999999994,0.0
2.481,AWS::DynamoDB::Table,2.481,2.481,0.0
3.748,AWS::DynamoDB::Table,3.6679999999999997,3.6679999999999997,0.0
5.722,AWS::DynamoDB::Table,5.721000000000001,5.721000000000001,0.0
5.521,AWS::DynamoDB::Table,5.5200000000000005,5.5200000000000005,0.0
5.812,AWS::DynamoDB::Table,5.811999999999999,5.811999999999999,0.0
3.512,AWS::DynamoDB::Table,3.5130000000000003,3.5130000000000003,0.0
5.516,AWS::DynamoDB::Table,5.518000000000001,5.518000000000001,0.0
5.595,AWS::DynamoDB::Table,5.595000000000001,5.595000000000001,0.0
1.99,AWS::DynamoDB::Table,1.9890000000000003,1.9890000000000003,0.0
5.536,AWS::DynamoDB::Table,5.534,5.534,0.0
7.06,AWS::DynamoDB::Table,7.061000000000001,7.061000000000001,0.0
2.435,AWS::DynamoDB::Table,2.436,2.436,0.0
4.854,AWS::DynamoDB::Table,4.854,4.854,0.0
5.401,AWS::DynamoDB::Table,5.402,5.402,0.0
1.167,AWS::DynamoDB::Table,1.013,1.013,0.0
3.81,AWS::DynamoDB::Table,3.8099999999999996,3.8099999999999996,0.0
3.681,AWS::DynamoDB::Table,3.6819999999999995,3.6819999999999995,0.0
3.835,AWS::DynamoDB::Table,3.8339999999999996,3.8339999999999996,0.0
4.053,AWS::DynamoDB::Table,3.9520000000000004,3.9520000000000004,0.0
5.734,AWS::DynamoDB::Table,5.6339999999999995,5.6339999999999995,0.0
3.6,AWS::DynamoDB::Table,3.6,3.6,0.0
4.965,AWS::DynamoDB::Table,4.965,4.965,0.0
3.879,AWS::DynamoDB::Table,3.8790000000000004,3.8790000000000004,0.0
3.805,AWS::DynamoDB::Table,3.806,3.806,0.0
3.369,AWS::DynamoDB::Table,3.369,3.369,0.0
5.824,AWS::DynamoDB::Table,5.824999999999999,5.824999999999999,0.0
4.02,AWS::DynamoDB::Table,4.022,4.022,0.0
3.651,AWS::DynamoDB::Table,3.6510000000000002,3.6510000000000002,0.0
4.486,AWS::DynamoDB::Table,4.485,4.485,0.0
3.759,AWS::DynamoDB::Table,3.758,3.758,0.0
3.744,AWS::DynamoDB::Table,3.744,3.744,0.0
2.979,AWS::DynamoDB::Table,2.9789999999999996,2.9789999999999996,0.0
3.886,AWS::DynamoDB::Table,3.886,3.886,0.0
4.847,AWS::DynamoDB::Table,4.849,4.849,0.0
5.159,AWS::DynamoDB::Table,5.16,5.16,0.0
5.583,AWS::DynamoDB::Table,5.583,5.583,0.0
3.748,AWS::DynamoDB::Table,3.748,3.748,0.0
4.822,AWS::DynamoDB::Table,4.821999999999999,4.821999999999999,0.0
3.706,AWS::DynamoDB::Table,3.7060000000000004,3.7060000000000004,0.0
3.97,AWS::DynamoDB::Table,3.3309999999999995,3.3309999999999995,0.0
5.262,AWS::DynamoDB::Table,5.261,5.261,0.0
4.907,AWS::DynamoDB::Table,4.908,4.908,0.0
5.008,AWS::DynamoDB::Table,5.008,5.008,0.0
4.696,AWS::DynamoDB::Table,4.697000000000001,4.697000000000001,0.0
4.401,AWS::DynamoDB::Table,4.4,4.4,0.0
3.71,AWS::DynamoDB::Table,3.005,3.005,0.0
4.761,AWS::DynamoDB::Table,4.761,4.761,0.0
3.718,AWS::DynamoDB::Table,3.717,3.717,0.0
3.256,AWS::DynamoDB::Table,3.2569999999999997,3.2569999999999997,0.0
3.83,AWS::DynamoDB::Table,3.729,3.729,0.0
3.908,AWS::DynamoDB::Table,3.908,3.908,0.0
3.573,AWS::DynamoDB::Table,2.9530000000000003,2.9530000000000003,0.0
