total-response-time,type,duration-time-hist,response-time-hist,init-cost
0.257,remote,0.257,0.257,0.0
0.279,remote,0.279,0.279,0.0
0.206,remote,0.206,0.206,0.0
0.256,remote,0.256,0.256,0.0
0.276,remote,0.276,0.276,0.0
0.274,remote,0.274,0.274,0.0
0.172,remote,0.172,0.172,0.0
0.264,remote,0.264,0.264,0.0
0.172,remote,0.172,0.172,0.0
0.25,remote,0.25,0.25,0.0
0.366,remote,0.366,0.366,0.0
0.24,remote,0.24,0.24,0.0
0.196,remote,0.196,0.196,0.0
0.192,remote,0.192,0.192,0.0
0.212,remote,0.212,0.212,0.0
0.226,remote,0.226,0.226,0.0
0.244,remote,0.244,0.244,0.0
0.179,remote,0.179,0.179,0.0
0.18,remote,0.18,0.18,0.0
0.179,remote,0.179,0.179,0.0
0.315,remote,0.315,0.315,0.0
0.278,remote,0.278,0.278,0.0
0.218,remote,0.218,0.218,0.0
0.28,remote,0.28,0.28,0.0
0.19,remote,0.19,0.19,0.0
0.264,remote,0.264,0.264,0.0
0.249,remote,0.249,0.249,0.0
0.188,remote,0.188,0.188,0.0
0.211,remote,0.211,0.211,0.0
0.288,remote,0.288,0.288,0.0
0.226,remote,0.226,0.226,0.0
0.222,remote,0.222,0.222,0.0
0.288,remote,0.288,0.288,0.0
0.34,remote,0.34,0.34,0.0
0.23,remote,0.23,0.23,0.0
0.188,remote,0.188,0.188,0.0
0.247,remote,0.247,0.247,0.0
0.306,remote,0.306,0.306,0.0
0.245,remote,0.245,0.245,0.0
0.264,remote,0.264,0.264,0.0
0.267,remote,0.267,0.267,0.0
0.156,remote,0.156,0.156,0.0
0.22,remote,0.22,0.22,0.0
0.18,remote,0.18,0.18,0.0
0.209,remote,0.209,0.209,0.0
0.255,remote,0.255,0.255,0.0
0.265,remote,0.265,0.265,0.0
0.19,remote,0.19,0.19,0.0
0.26,remote,0.26,0.26,0.0
0.235,remote,0.235,0.235,0.0
0.225,remote,0.225,0.225,0.0
0.164,remote,0.164,0.164,0.0
0.271,remote,0.271,0.271,0.0
0.25,remote,0.25,0.25,0.0
0.184,remote,0.184,0.184,0.0
0.277,remote,0.277,0.277,0.0
0.239,remote,0.239,0.239,0.0
0.286,remote,0.286,0.286,0.0
0.246,remote,0.246,0.246,0.0
0.243,remote,0.243,0.243,0.0
0.245,remote,0.245,0.245,0.0
0.305,remote,0.305,0.305,0.0
0.251,remote,0.251,0.251,0.0
0.179,remote,0.179,0.179,0.0
0.3,remote,0.3,0.3,0.0
0.218,remote,0.218,0.218,0.0
0.235,remote,0.235,0.235,0.0
0.3,remote,0.3,0.3,0.0
0.192,remote,0.192,0.192,0.0
0.197,remote,0.197,0.197,0.0
0.196,remote,0.196,0.196,0.0
0.203,remote,0.203,0.203,0.0
0.281,remote,0.281,0.281,0.0
0.199,remote,0.199,0.199,0.0
0.257,remote,0.257,0.257,0.0
0.18,remote,0.18,0.18,0.0
0.21,remote,0.21,0.21,0.0
0.263,remote,0.263,0.263,0.0
0.283,remote,0.283,0.283,0.0
0.178,remote,0.178,0.178,0.0
0.308,remote,0.308,0.308,0.0
0.25,remote,0.25,0.25,0.0
0.206,remote,0.206,0.206,0.0
0.187,remote,0.187,0.187,0.0
0.301,remote,0.301,0.301,0.0
0.178,remote,0.178,0.178,0.0
0.312,remote,0.312,0.312,0.0
0.278,remote,0.278,0.278,0.0
0.201,remote,0.201,0.201,0.0
0.186,remote,0.186,0.186,0.0
0.246,remote,0.246,0.246,0.0
0.198,remote,0.198,0.198,0.0
0.168,remote,0.168,0.168,0.0
0.324,remote,0.324,0.324,0.0
0.243,remote,0.243,0.243,0.0
0.24,remote,0.24,0.24,0.0
0.232,remote,0.232,0.232,0.0
0.279,remote,0.279,0.279,0.0
0.18,remote,0.18,0.18,0.0
0.226,remote,0.226,0.226,0.0
0.188,remote,0.188,0.188,0.0
0.28,remote,0.28,0.28,0.0
0.205,remote,0.205,0.205,0.0
0.191,remote,0.191,0.191,0.0
0.191,remote,0.191,0.191,0.0
