total-response-time,type,duration-time-hist,response-time-hist,init-cost
7.741,remote,7.0569999999999995,7.0569999999999995,0.0
2.184,remote,2.184,2.184,0.0
5.016,remote,4.396,4.396,0.0
1.178,remote,0.589,0.589,0.0
2.672,remote,2.133,2.133,0.0
7.28,remote,3.939,3.939,0.0
1.393,remote,0.9219999999999999,0.9219999999999999,0.0
1.075,remote,1.0750000000000002,1.0750000000000002,0.0
7.074,remote,5.448999999999999,5.448999999999999,0.0
0.867,remote,0.867,0.867,0.0
1.249,remote,1.249,1.249,0.0
0.581,remote,0.581,0.581,0.0
5.245,remote,4.305000000000001,4.305000000000001,0.0
8.951,remote,5.934000000000001,5.934000000000001,0.0
6.473,remote,3.7769999999999997,3.7769999999999997,0.0
5.757,remote,4.758,4.758,0.0
7.033,remote,4.101999999999999,4.101999999999999,0.0
6.969,remote,5.892,5.892,0.0
8.203,remote,6.442,6.442,0.0
4.137,remote,3.4760000000000004,3.4760000000000004,0.0
1.83,remote,0.915,0.915,0.0
1.934,remote,1.275,1.275,0.0
2.15,remote,1.739,1.739,0.0
3.845,remote,2.749,2.749,0.0
1.035,remote,1.0350000000000001,1.0350000000000001,0.0
1.261,remote,0.848,0.848,0.0
0.45,remote,0.45,0.45,0.0
2.523,remote,2.522,2.522,0.0
7.714,remote,6.751,6.751,0.0
4.629,remote,3.136,3.136,0.0
0.813,remote,0.813,0.813,0.0
2.39,remote,1.4460000000000002,1.4460000000000002,0.0
0.724,remote,0.724,0.724,0.0
2.546,remote,2.046,2.046,0.0
5.436,remote,4.07,4.07,0.0
6.462,remote,5.52,5.52,0.0
0.906,remote,0.453,0.453,0.0
0.934,remote,0.467,0.467,0.0
1.749,remote,1.165,1.165,0.0
3.568,remote,2.967,2.967,0.0
4.417,remote,3.164,3.164,0.0
3.092,remote,2.6510000000000002,2.6510000000000002,0.0
0.578,remote,0.578,0.578,0.0
4.573,remote,4.134,4.134,0.0
3.691,remote,3.693,3.693,0.0
0.839,remote,0.839,0.839,0.0
6.219,remote,4.934,4.934,0.0
0.994,remote,0.994,0.994,0.0
1.876,remote,1.8760000000000001,1.8760000000000001,0.0
4.549,remote,3.8709999999999996,3.8709999999999996,0.0
2.078,remote,1.57,1.57,0.0
6.905,remote,5.520000000000001,5.520000000000001,0.0
1.491,remote,1.491,1.491,0.0
5.402,remote,4.351999999999999,4.351999999999999,0.0
4.966,remote,3.6049999999999995,3.6049999999999995,0.0
0.825,remote,0.825,0.825,0.0
7.1,remote,3.549,3.549,0.0
7.987,remote,4.917999999999999,4.917999999999999,0.0
5.134,remote,4.027,4.027,0.0
5.604,remote,3.269,3.269,0.0
5.118,remote,3.069,3.069,0.0
4.152,remote,3.111,3.111,0.0
1.392,remote,1.3920000000000001,1.3920000000000001,0.0
7.581,remote,6.223000000000001,6.223000000000001,0.0
5.917,remote,4.303999999999999,4.303999999999999,0.0
3.067,remote,3.065,3.065,0.0
2.178,remote,2.178,2.178,0.0
5.639,remote,3.0690000000000004,3.0690000000000004,0.0
2.676,remote,2.6759999999999997,2.6759999999999997,0.0
4.786,remote,3.741,3.741,0.0
5.394,remote,4.027,4.027,0.0
3.882,remote,3.8819999999999997,3.8819999999999997,0.0
3.712,remote,2.84,2.84,0.0
1.283,remote,1.283,1.283,0.0
3.142,remote,2.523,2.523,0.0
10.22,remote,7.938,7.938,0.0
1.025,remote,1.025,1.025,0.0
4.814,remote,4.815,4.815,0.0
6.293,remote,5.598,5.598,0.0
8.388,remote,7.045,7.045,0.0
6.535,remote,5.287999999999999,5.287999999999999,0.0
0.875,remote,0.875,0.875,0.0
2.924,remote,2.44,2.44,0.0
1.916,remote,1.916,1.916,0.0
4.614,remote,2.885,2.885,0.0
11.189,remote,8.812,8.812,0.0
7.265,remote,4.249,4.249,0.0
3.294,remote,2.656,2.656,0.0
4.047,remote,2.25,2.25,0.0
1.987,remote,1.987,1.987,0.0
2.439,remote,1.645,1.645,0.0
3.571,remote,3.131,3.131,0.0
9.286,remote,7.647,7.647,0.0
4.879,remote,3.3810000000000002,3.3810000000000002,0.0
0.919,remote,0.919,0.919,0.0
5.369,remote,4.015,4.015,0.0
2.239,remote,1.6820000000000002,1.6820000000000002,0.0
8.006,remote,6.207999999999999,6.207999999999999,0.0
9.208,remote,7.265,7.265,0.0
8.367,remote,5.372,5.372,0.0
4.053,remote,3.553,3.553,0.0
2.689,remote,2.156,2.156,0.0
0.462,remote,0.462,0.462,0.0
5.196,remote,3.313,3.313,0.0
1.529,remote,1.529,1.529,0.0
