total-response-time,type,duration-time-hist,response-time-hist,init-cost
3.163,remote,1.5690000000000002,1.5690000000000002,0.0
1.044,remote,1.044,1.044,0.0
1.847,remote,1.3860000000000001,1.3860000000000001,0.0
0.611,remote,0.611,0.611,0.0
1.26,remote,0.759,0.759,0.0
4.435,remote,2.7600000000000002,2.7600000000000002,0.0
0.609,remote,0.402,0.402,0.0
0.401,remote,0.401,0.401,0.0
2.908,remote,2.037,2.037,0.0
0.656,remote,0.656,0.656,0.0
0.475,remote,0.475,0.475,0.0
1.872,remote,1.872,1.872,0.0
2.33,remote,1.4760000000000002,1.4760000000000002,0.0
4.122,remote,2.495,2.495,0.0
4.053,remote,2.71,2.71,0.0
3.289,remote,2.12,2.12,0.0
3.617,remote,1.829,1.829,0.0
3.41,remote,2.588,2.588,0.0
3.693,remote,2.6310000000000002,2.6310000000000002,0.0
1.88,remote,1.242,1.242,0.0
1.146,remote,0.573,0.573,0.0
0.888,remote,0.593,0.593,0.0
1.169,remote,0.9299999999999999,0.9299999999999999,0.0
2.044,remote,1.745,1.745,0.0
0.598,remote,0.597,0.597,0.0
0.752,remote,0.501,0.501,0.0
0.474,remote,0.474,0.474,0.0
1.106,remote,0.8859999999999999,0.8859999999999999,0.0
4.61,remote,3.4560000000000004,3.4560000000000004,0.0
2.268,remote,1.0110000000000001,1.0110000000000001,0.0
0.439,remote,0.439,0.439,0.0
1.339,remote,1.0779999999999998,1.0779999999999998,0.0
0.681,remote,0.681,0.681,0.0
1.203,remote,0.964,0.964,0.0
2.656,remote,2.3409999999999997,2.3409999999999997,0.0
4.011,remote,3.478,3.478,0.0
0.499,remote,0.499,0.499,0.0
0.571,remote,0.571,0.571,0.0
0.801,remote,0.801,0.801,0.0
1.576,remote,0.789,0.789,0.0
1.773,remote,1.5110000000000001,1.5110000000000001,0.0
1.592,remote,1.143,1.143,0.0
1.912,remote,1.912,1.912,0.0
2.333,remote,1.872,1.872,0.0
1.59,remote,1.128,1.128,0.0
0.373,remote,0.373,0.373,0.0
2.701,remote,1.6469999999999998,1.6469999999999998,0.0
0.583,remote,0.583,0.583,0.0
0.888,remote,0.595,0.595,0.0
1.679,remote,0.96,0.96,0.0
0.915,remote,0.687,0.687,0.0
3.29,remote,2.1430000000000002,2.1430000000000002,0.0
0.718,remote,0.718,0.718,0.0
3.109,remote,1.891,1.891,0.0
2.579,remote,1.9009999999999998,1.9009999999999998,0.0
0.477,remote,0.477,0.477,0.0
3.352,remote,1.6640000000000001,1.6640000000000001,0.0
4.035,remote,2.516,2.516,0.0
3.005,remote,1.6629999999999998,1.6629999999999998,0.0
4.687,remote,2.7479999999999998,2.7479999999999998,0.0
2.997,remote,1.7899999999999998,1.7899999999999998,0.0
2.766,remote,1.373,1.373,0.0
0.624,remote,0.417,0.417,0.0
4.333,remote,3.533,3.533,0.0
3.434,remote,2.4890000000000003,2.4890000000000003,0.0
1.47,remote,0.735,0.735,0.0
1.513,remote,1.512,1.512,0.0
3.036,remote,1.9600000000000002,1.9600000000000002,0.0
1.324,remote,0.885,0.885,0.0
1.944,remote,1.7369999999999999,1.7369999999999999,0.0
2.632,remote,1.7710000000000001,1.7710000000000001,0.0
1.62,remote,1.6199999999999999,1.6199999999999999,0.0
1.888,remote,1.1789999999999998,1.1789999999999998,0.0
0.568,remote,0.5680000000000001,0.5680000000000001,0.0
1.262,remote,1.018,1.018,0.0
5.255,remote,3.7699999999999996,3.7699999999999996,0.0
0.419,remote,0.41900000000000004,0.41900000000000004,0.0
2.317,remote,1.538,1.538,0.0
3.241,remote,1.621,1.621,0.0
4.562,remote,3.307,3.307,0.0
2.923,remote,2.09,2.09,0.0
0.466,remote,0.233,0.233,0.0
1.447,remote,1.2069999999999999,1.2069999999999999,0.0
0.94,remote,0.701,0.701,0.0
2.157,remote,1.078,1.078,0.0
5.774,remote,4.187,4.187,0.0
4.216,remote,2.885,2.885,0.0
1.39,remote,0.8340000000000001,0.8340000000000001,0.0
2.666,remote,2.071,2.071,0.0
0.939,remote,0.698,0.698,0.0
1.486,remote,0.744,0.744,0.0
1.978,remote,1.475,1.475,0.0
4.207,remote,2.674,2.674,0.0
2.415,remote,0.966,0.966,0.0
0.296,remote,0.296,0.296,0.0
2.388,remote,1.4869999999999999,1.4869999999999999,0.0
1.343,remote,1.343,1.343,0.0
4.468,remote,2.09,2.09,0.0
4.446,remote,2.605,2.605,0.0
3.955,remote,2.2600000000000002,2.2600000000000002,0.0
2.138,remote,1.595,1.595,0.0
1.243,remote,0.986,0.986,0.0
1.485,remote,1.485,1.485,0.0
3.021,remote,2.1810000000000005,2.1810000000000005,0.0
0.714,remote,0.714,0.714,0.0
