TotalResponseTime,type,DurationTimeHist,ResponseTimeHist,InitCost
0.308,remote,0.308,0.308,0.0
0.304,remote,0.304,0.304,0.0
0.22,remote,0.22,0.22,0.0
0.295,remote,0.295,0.295,0.0
0.274,remote,0.274,0.274,0.0
0.305,remote,0.305,0.305,0.0
0.282,remote,0.282,0.282,0.0
0.312,remote,0.312,0.312,0.0
0.257,remote,0.257,0.257,0.0
0.271,remote,0.271,0.271,0.0
0.358,remote,0.358,0.358,0.0
0.325,remote,0.325,0.325,0.0
0.248,remote,0.248,0.248,0.0
0.232,remote,0.232,0.232,0.0
0.23,remote,0.23,0.23,0.0
0.295,remote,0.295,0.295,0.0
0.263,remote,0.263,0.263,0.0
0.281,remote,0.281,0.281,0.0
0.234,remote,0.234,0.234,0.0
0.283,remote,0.283,0.283,0.0
0.25,remote,0.25,0.25,0.0
0.287,remote,0.287,0.287,0.0
0.237,remote,0.237,0.237,0.0
0.267,remote,0.267,0.267,0.0
0.316,remote,0.316,0.316,0.0
0.204,remote,0.204,0.204,0.0
0.332,remote,0.332,0.332,0.0
0.229,remote,0.229,0.229,0.0
0.311,remote,0.311,0.311,0.0
0.282,remote,0.282,0.282,0.0
0.291,remote,0.291,0.291,0.0
0.257,remote,0.257,0.257,0.0
0.283,remote,0.283,0.283,0.0
0.257,remote,0.257,0.257,0.0
0.302,remote,0.302,0.302,0.0
0.278,remote,0.278,0.278,0.0
0.321,remote,0.321,0.321,0.0
0.282,remote,0.282,0.282,0.0
0.306,remote,0.306,0.306,0.0
0.328,remote,0.328,0.328,0.0
0.255,remote,0.255,0.255,0.0
0.287,remote,0.287,0.287,0.0
0.293,remote,0.293,0.293,0.0
0.231,remote,0.231,0.231,0.0
0.274,remote,0.274,0.274,0.0
0.219,remote,0.219,0.219,0.0
0.309,remote,0.309,0.309,0.0
0.209,remote,0.209,0.209,0.0
0.337,remote,0.337,0.337,0.0
0.224,remote,0.224,0.224,0.0
0.221,remote,0.221,0.221,0.0
0.262,remote,0.262,0.262,0.0
0.341,remote,0.341,0.341,0.0
0.312,remote,0.312,0.312,0.0
0.313,remote,0.313,0.313,0.0
0.222,remote,0.222,0.222,0.0
0.356,remote,0.356,0.356,0.0
0.247,remote,0.247,0.247,0.0
0.29,remote,0.29,0.29,0.0
0.276,remote,0.276,0.276,0.0
0.245,remote,0.245,0.245,0.0
0.227,remote,0.227,0.227,0.0
0.322,remote,0.322,0.322,0.0
0.181,remote,0.181,0.181,0.0
0.307,remote,0.307,0.307,0.0
0.32,remote,0.32,0.32,0.0
0.295,remote,0.295,0.295,0.0
0.26,remote,0.26,0.26,0.0
0.222,remote,0.222,0.222,0.0
0.267,remote,0.267,0.267,0.0
0.309,remote,0.309,0.309,0.0
0.202,remote,0.202,0.202,0.0
0.277,remote,0.277,0.277,0.0
0.284,remote,0.284,0.284,0.0
0.302,remote,0.302,0.302,0.0
0.299,remote,0.299,0.299,0.0
0.314,remote,0.314,0.314,0.0
0.33,remote,0.33,0.33,0.0
0.215,remote,0.215,0.215,0.0
0.283,remote,0.283,0.283,0.0
0.246,remote,0.246,0.246,0.0
0.293,remote,0.293,0.293,0.0
0.22,remote,0.22,0.22,0.0
0.31,remote,0.31,0.31,0.0
0.355,remote,0.355,0.355,0.0
0.348,remote,0.348,0.348,0.0
0.28,remote,0.28,0.28,0.0
0.272,remote,0.272,0.272,0.0
0.254,remote,0.254,0.254,0.0
0.257,remote,0.257,0.257,0.0
0.285,remote,0.285,0.285,0.0
0.282,remote,0.282,0.282,0.0
0.309,remote,0.309,0.309,0.0
0.285,remote,0.285,0.285,0.0
0.269,remote,0.269,0.269,0.0
0.257,remote,0.257,0.257,0.0
0.267,remote,0.267,0.267,0.0
0.315,remote,0.315,0.315,0.0
0.311,remote,0.311,0.311,0.0
0.332,remote,0.332,0.332,0.0
0.273,remote,0.273,0.273,0.0
0.326,remote,0.326,0.326,0.0
0.298,remote,0.298,0.298,0.0
0.261,remote,0.261,0.261,0.0
0.33,remote,0.33,0.33,0.0
0.241,remote,0.241,0.241,0.0
