TotalResponseTime,type,DurationTimeHist,ResponseTimeHist,InitCost
0.809,remote,0.546,0.546,0.0
1.779,remote,1.186,1.186,0.0
4.308,remote,4.308,4.308,0.0
6.886,remote,5.27,5.27,0.0
6.669,remote,5.265,5.265,0.0
9.576,remote,4.939,4.939,0.0
2.251,remote,1.25,1.25,0.0
2.177,remote,2.176,2.176,0.0
0.564,remote,0.564,0.564,0.0
1.652,remote,1.653,1.653,0.0
6.597,remote,4.466,4.466,0.0
8.552,remote,4.04,4.04,0.0
2.407,remote,1.7910000000000001,1.7910000000000001,0.0
6.116,remote,3.7140000000000004,3.7140000000000004,0.0
6.494,remote,3.7420000000000004,3.7420000000000004,0.0
2.106,remote,1.395,1.395,0.0
1.551,remote,1.245,1.245,0.0
6.524,remote,4.692,4.692,0.0
1.17,remote,0.702,0.702,0.0
0.628,remote,0.627,0.627,0.0
1.635,remote,1.366,1.366,0.0
4.153,remote,2.224,2.224,0.0
0.544,remote,0.544,0.544,0.0
5.076,remote,3.2340000000000004,3.2340000000000004,0.0
1.484,remote,1.221,1.221,0.0
0.967,remote,0.966,0.966,0.0
2.763,remote,1.226,1.226,0.0
0.617,remote,0.617,0.617,0.0
0.538,remote,0.539,0.539,0.0
2.647,remote,1.5870000000000002,1.5870000000000002,0.0
7.038,remote,4.926,4.926,0.0
0.724,remote,0.483,0.483,0.0
5.375,remote,3.9349999999999996,3.9349999999999996,0.0
6.654,remote,3.1870000000000003,3.1870000000000003,0.0
2.004,remote,1.645,1.645,0.0
5.61,remote,3.282,3.282,0.0
8.952,remote,5.0520000000000005,5.0520000000000005,0.0
0.948,remote,0.948,0.948,0.0
8.958,remote,4.390000000000001,4.390000000000001,0.0
9.499,remote,6.726,6.726,0.0
2.415,remote,1.441,1.441,0.0
6.359,remote,4.624,4.624,0.0
5.361,remote,3.2009999999999996,3.2009999999999996,0.0
2.348,remote,2.003,2.003,0.0
6.258,remote,4.396,4.396,0.0
4.217,remote,3.181,3.181,0.0
4.179,remote,2.461,2.461,0.0
0.519,remote,0.519,0.519,0.0
4.354,remote,3.667,3.667,0.0
