TotalResponseTime,type,DurationTimeHist,ResponseTimeHist,InitCost
3.845,remote,2.5820000000000003,2.5820000000000003,0.0
0.597,remote,0.597,0.597,0.0
3.513,remote,2.5140000000000002,2.5140000000000002,0.0
8.248,remote,7.016,7.016,0.0
0.95,remote,0.95,0.95,0.0
2.192,remote,1.613,1.613,0.0
0.638,remote,0.638,0.638,0.0
0.902,remote,0.901,0.901,0.0
4.228,remote,4.228,4.228,0.0
2.01,remote,2.011,2.011,0.0
20.612,remote,15.702,15.702,0.0
1.282,remote,1.283,1.283,0.0
4.28,remote,2.459,2.459,0.0
12.887,remote,11.720999999999997,11.720999999999997,0.0
5.105,remote,5.103999999999999,5.103999999999999,0.0
0.758,remote,0.758,0.758,0.0
3.617,remote,1.81,1.81,0.0
7.373,remote,6.831,6.831,0.0
5.382,remote,5.382,5.382,0.0
5.641,remote,3.6130000000000004,3.6130000000000004,0.0
17.85,remote,13.437,13.437,0.0
8.735,remote,7.848,7.848,0.0
5.926,remote,3.913,3.913,0.0
4.161,remote,3.12,3.12,0.0
7.255,remote,4.872999999999999,4.872999999999999,0.0
2.909,remote,2.4290000000000003,2.4290000000000003,0.0
1.2,remote,1.2,1.2,0.0
8.278,remote,7.178999999999999,7.178999999999999,0.0
3.557,remote,2.9899999999999998,2.9899999999999998,0.0
1.369,remote,1.369,1.369,0.0
6.329,remote,4.754,4.754,0.0
6.475,remote,4.543,4.543,0.0
15.559,remote,12.908999999999999,12.908999999999999,0.0
4.359,remote,3.8760000000000003,3.8760000000000003,0.0
12.565,remote,8.14,8.14,0.0
9.416,remote,8.815000000000001,8.815000000000001,0.0
1.032,remote,1.0310000000000001,1.0310000000000001,0.0
18.956,remote,11.431000000000001,11.431000000000001,0.0
2.242,remote,1.121,1.121,0.0
4.256,remote,3.322,3.322,0.0
9.244,remote,7.268999999999998,7.268999999999998,0.0
18.379,remote,14.038999999999998,14.038999999999998,0.0
2.648,remote,2.219,2.219,0.0
8.804,remote,6.282,6.282,0.0
11.806,remote,8.584999999999999,8.584999999999999,0.0
7.746,remote,7.746,7.746,0.0
10.749,remote,8.568,8.568,0.0
3.095,remote,2.4699999999999998,2.4699999999999998,0.0
15.917,remote,12.754,12.754,0.0
16.054,remote,13.489999999999998,13.489999999999998,0.0
12.038,remote,9.139,9.139,0.0
2.763,remote,1.865,1.865,0.0
7.993,remote,6.845000000000001,6.845000000000001,0.0
5.298,remote,4.7749999999999995,4.7749999999999995,0.0
12.769,remote,10.944000000000003,10.944000000000003,0.0
9.416,remote,7.337,7.337,0.0
2.136,remote,2.135,2.135,0.0
1.445,remote,1.445,1.445,0.0
3.949,remote,2.819,2.819,0.0
5.612,remote,3.5879999999999996,3.5879999999999996,0.0
2.359,remote,2.359,2.359,0.0
1.707,remote,1.706,1.706,0.0
5.384,remote,5.383,5.383,0.0
15.152,remote,11.611,11.611,0.0
6.841,remote,6.84,6.84,0.0
1.429,remote,1.4289999999999998,1.4289999999999998,0.0
7.402,remote,6.273999999999999,6.273999999999999,0.0
3.676,remote,3.6740000000000004,3.6740000000000004,0.0
1.219,remote,1.219,1.219,0.0
15.239,remote,11.568999999999999,11.568999999999999,0.0
2.349,remote,1.909,1.909,0.0
9.492,remote,5.579,5.579,0.0
3.147,remote,3.1470000000000002,3.1470000000000002,0.0
1.601,remote,1.205,1.205,0.0
1.683,remote,1.683,1.683,0.0
