TotalResponseTime,type,DurationTimeHist,ResponseTimeHist,InitCost
47.682,AWS::DynamoDB::Table,47.684000000000005,47.684000000000005,0.0
53.682,AWS::DynamoDB::Table,53.68199999999999,53.68199999999999,0.0
48.058,AWS::DynamoDB::Table,48.056999999999995,48.056999999999995,0.0
3.924,AWS::DynamoDB::Table,3.9249999999999994,3.9249999999999994,0.0
87.768,AWS::DynamoDB::Table,87.768,87.768,0.0
49.073,AWS::DynamoDB::Table,49.073,49.073,0.0
42.62,AWS::DynamoDB::Table,42.621,42.621,0.0
12.39,AWS::DynamoDB::Table,12.389,12.389,0.0
71.293,AWS::DynamoDB::Table,71.293,71.293,0.0
8.494,AWS::DynamoDB::Table,8.495,8.495,0.0
67.983,AWS::DynamoDB::Table,67.98400000000001,67.98400000000001,0.0
87.25,AWS::DynamoDB::Table,87.25000000000001,87.25000000000001,0.0
34.625,AWS::DynamoDB::Table,34.586000000000006,34.586000000000006,0.0
26.803,AWS::DynamoDB::Table,26.804999999999996,26.804999999999996,0.0
96.007,AWS::DynamoDB::Table,96.007,96.007,0.0
66.139,AWS::DynamoDB::Table,66.14,66.14,0.0
46.967,AWS::DynamoDB::Table,46.967,46.967,0.0
113.304,AWS::DynamoDB::Table,113.304,113.304,0.0
6.987,AWS::DynamoDB::Table,6.987000000000001,6.987000000000001,0.0
93.724,AWS::DynamoDB::Table,93.725,93.725,0.0
105.532,AWS::DynamoDB::Table,105.531,105.531,0.0
45.413,AWS::DynamoDB::Table,45.413,45.413,0.0
47.954,AWS::DynamoDB::Table,47.953,47.953,0.0
11.413,AWS::DynamoDB::Table,10.712,10.712,0.0
14.841,AWS::DynamoDB::Table,14.841,14.841,0.0
96.054,AWS::DynamoDB::Table,96.05600000000001,96.05600000000001,0.0
21.464,AWS::DynamoDB::Table,21.463,21.463,0.0
73.761,AWS::DynamoDB::Table,73.76000000000002,73.76000000000002,0.0
37.746,AWS::DynamoDB::Table,37.74699999999999,37.74699999999999,0.0
5.602,AWS::DynamoDB::Table,5.601,5.601,0.0
36.91,AWS::DynamoDB::Table,36.911,36.911,0.0
40.122,AWS::DynamoDB::Table,40.122,40.122,0.0
5.791,AWS::DynamoDB::Table,5.756999999999999,5.756999999999999,0.0
68.59,AWS::DynamoDB::Table,68.589,68.589,0.0
98.751,AWS::DynamoDB::Table,98.74900000000001,98.74900000000001,0.0
3.726,AWS::DynamoDB::Table,3.043,3.043,0.0
109.992,AWS::DynamoDB::Table,109.993,109.993,0.0
58.755,AWS::DynamoDB::Table,58.756,58.756,0.0
19.209,AWS::DynamoDB::Table,19.207,19.207,0.0
8.31,AWS::DynamoDB::Table,8.308,8.308,0.0
59.745,AWS::DynamoDB::Table,59.744,59.744,0.0
102.323,AWS::DynamoDB::Table,102.324,102.324,0.0
54.789,AWS::DynamoDB::Table,54.789000000000016,54.789000000000016,0.0
52.745,AWS::DynamoDB::Table,52.74400000000001,52.74400000000001,0.0
63.224,AWS::DynamoDB::Table,63.224000000000004,63.224000000000004,0.0
72.608,AWS::DynamoDB::Table,72.60900000000001,72.60900000000001,0.0
